case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case1072,CenterA,lesion_union,nnunet_oof,0.6266386995280545,0.05509065550906555,0.6266386995280545,0.5495277838787612,0.7473118279569892,0.02670481640438722,0.558893657606104
Case1074,CenterA,scar,nnunet_oof,0.4870613257710032,0.2843601895734597,0.4870613257710032,0.41478098401494706,0.6927877947295423,0.16551724137931034,0.2116710875331565
Case1074,CenterA,lesion_union,nnunet_oof,0.4870613257710032,0.2843601895734597,0.4870613257710032,0.41478098401494706,0.6927877947295423,0.16551724137931034,0.2116710875331565
Case1077,CenterA,scar,nnunet_oof,0.4444444444444444,0.20361990950226244,0.4444444444444444,0.42971758664955073,0.6405166228175078,0.12843068261787474,0.29697396199859255
Case1077,CenterA,lesion_union,nnunet_oof,0.4444444444444444,0.20361990950226244,0.4444444444444444,0.42971758664955073,0.6405166228175078,0.12843068261787474,0.29697396199859255
Case2001,CenterB,scar,nnunet_oof,0.7418604651162791,0.6594529606251879,0.7418604651162791,0.6522767593140154,0.9813167259786477,0.1275109170305677,0.005240174672489083
Case2001,CenterB,pure_edema,nnunet_oof,0.6932989690721649,0.0,0.6932989690721649,0.6932989690721649,0.8021868787276342,0.0,0.6697095435684647
Case2001,CenterB,lesion_union,nnunet_oof,0.8510226644555002,0.6519086630643194,0.8510226644555002,0.8434991974317817,0.9400715563506261,0.02081575246132208,0.36090014064697606
Case2010,CenterB,scar,mosaic_clean_oof,0.7929475587703436,0.8061959654178674,0.8061959654178674,0.8042704626334519,0.949978982765868,0.20256204963971178,0.008807045636509208
Case2010,CenterB,pure_edema,nnunet_oof,0.7213313161875946,0.0,0.7213313161875946,0.7213313161875946,0.8662790697674418,0.0,0.764102564102564
